service,period,geography,provider,metric,value,unit,source_id
SMP,2026-Q2,BR,TOTAL,accesses,276400000,accesses,ANATEL_COMPETITION_2026Q2
SMP,2026-Q2,BR,TOTAL,accesses_5g,66100000,accesses,ANATEL_COMPETITION_2026Q2
SMP,2026-Q2,BR,TOTAL,share_5g,23.9,percent,ANATEL_COMPETITION_2026Q2
SMP,2026-Q2,BR,Vivo,market_share,37.9,percent,ANATEL_COMPETITION_2026Q2
SMP,2026-Q2,BR,TIM,market_share,22.4,percent,ANATEL_COMPETITION_2026Q2
SCM,2026-Q2,BR,TOTAL,accesses,55400000,accesses,ANATEL_COMPETITION_2026Q2
SCM,2026-Q2,BR,TOTAL,fiber_accesses,44700000,accesses,ANATEL_COMPETITION_2026Q2
SCM,2026-Q2,BR,Claro,market_share,19.5,percent,ANATEL_COMPETITION_2026Q2
SCM,2026-Q2,BR,Vivo,market_share,15.1,percent,ANATEL_COMPETITION_2026Q2
SCM,2026-Q2,BR,NIO,market_share,6.2,percent,ANATEL_COMPETITION_2026Q2
