year,service,provider,isg,source_id
2025,internet_fixa,Algar,7.61,ANATEL_SATISFACTION_2025
2025,internet_fixa,Brisanet,8.28,ANATEL_SATISFACTION_2025
2025,internet_fixa,Claro,7.14,ANATEL_SATISFACTION_2025
2025,internet_fixa,NIO,7.23,ANATEL_SATISFACTION_2025
2025,internet_fixa,TIM,6.97,ANATEL_SATISFACTION_2025
2025,internet_fixa,Vero,7.92,ANATEL_SATISFACTION_2025
2025,internet_fixa,Vivo,7.78,ANATEL_SATISFACTION_2025
2025,celular_pos_pago,Algar,7.43,ANATEL_SATISFACTION_2025
2025,celular_pos_pago,Claro,7.72,ANATEL_SATISFACTION_2025
2025,celular_pos_pago,TIM,7.09,ANATEL_SATISFACTION_2025
2025,celular_pos_pago,Vivo,7.87,ANATEL_SATISFACTION_2025
2025,celular_pre_pago,Algar,7.99,ANATEL_SATISFACTION_2025
2025,celular_pre_pago,Claro,8.02,ANATEL_SATISFACTION_2025
2025,celular_pre_pago,TIM,7.73,ANATEL_SATISFACTION_2025
2025,celular_pre_pago,Vivo,7.88,ANATEL_SATISFACTION_2025
